,Gene,Rep1_frameshift,Pred_frameshift_inDephi,Rep_delratio,Pred_delratio_inDephi,iDp_delratio,Pred_frameshift_inDecay,Pred_delratio_inDecay
994,Oligo9458,0.92119867,0.8259929522992322,0.82611907,0.8562599123333137,0.8595363388075375,0.91558564,0.6226473
995,Oligo46097,0.48724324,0.5149710559554537,0.70389193,0.8384673664868666,0.8408959414464593,0.59407395,0.7337507
996,Oligo70101,0.8312318,0.7716535820126933,0.8309893,0.8140489094259558,0.818090889329976,0.74465436,0.82199633
997,Oligo3603,0.81931937,0.7948651711529963,0.8425905,0.9013178540230156,0.9057572889390305,0.81497043,0.7505271
998,Oligo4013,0.8081244,0.7763602479248459,0.8292998,0.8760773303972701,0.8816503082222799,0.78759366,0.7914632
999,Oligo31063,0.91865283,0.8541050448473269,0.8059585,0.9117027109238736,0.9173799973676888,0.85695726,0.81744933
1000,Oligo8451,0.7955936,0.9151181309465442,0.9113287,0.863247745570799,0.8645976762661496,0.84873104,0.87355727
1001,Oligo4546,0.41580757,0.39477011382046223,0.9040664,0.8762670529341213,0.881376988749659,0.44421485,0.8930738
1002,Oligo36712,0.7994948,0.7541049821073802,0.6846707,0.8344777650274984,0.836537336684472,0.7999274,0.7469508
1003,Oligo33328,0.9225203,0.9231039899406714,0.90352726,0.9061033934689023,0.9080596038015739,0.9178205,0.91711843
1004,Oligo23384,0.7990446,0.82198100170893,0.8085984,0.924818296090421,0.9267734637545618,0.825506,0.7966222
1005,Oligo17960,0.9529348,0.9238376465238604,0.8339194,0.8020485093395324,0.8035727150678211,0.9229152,0.8136949
1006,Oligo7745,0.17145103,0.2369513465029247,0.99193865,0.9495157125444031,0.9502067746269575,0.29196912,0.97870326
1007,Oligo729,0.91084343,0.8174140628486424,0.48634535,0.8390235783947377,0.8426074113521637,0.8862638,0.54737926
1008,Oligo34982,0.81750417,0.7444328979238971,0.9011782,0.9349714500038627,0.9371713766818169,0.78238785,0.8520906
1009,Oligo37010,0.5103921,0.6383751256773083,0.9419608,0.9272502590730293,0.9327146331217151,0.46887103,0.9544941
1010,Oligo38180,0.4620083,0.47731311002430077,0.8231126,0.922682664489084,0.9254174709183863,0.55373454,0.8772034
1011,Oligo29884,0.9524101,0.9761163843863295,0.8641163,0.8301724817445038,0.8305837699599672,0.96671176,0.94751275
1012,Oligo51045,0.94819987,0.9526943075722778,0.9468061,0.8281075754876824,0.8291543997572326,0.90485126,0.932741
1013,Oligo87431,0.9119189,0.6252910230846149,0.3365956,0.8296518765303323,0.832779108787461,0.8580768,0.43396842
1014,Oligo29203,0.35234576,0.14276426369429296,0.9563671,0.942696312716885,0.9430905532515866,0.27347568,0.9361161
1015,Oligo1198,0.86825496,0.7904294383599928,0.5015778,0.749717726441373,0.7560646496234917,0.8446438,0.5098427
